mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7656523227691651,0.16136615646117433,0.16781530380249024,0.015423806290613967,0.95,20000,3,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.5993002457885989,-0.6134575867131818,-0.7009836831509284,-0.6452624607981,-0.6593221520897466,-0.6436652257081111,0.03581577575366308,37,-2.6649633598382878e-05,-2.652921368145613e-05,-2.5377173064103922e-05,-2.407193471311863e-05,-2.4398111728265043e-05,-2.5405213357065317e-05,1.058737961669209e-06
0.7093615531921387,0.08728801934272754,0.16444177627563478,0.03106797120141119,0.85,20000,3,"(1, 1)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.605383361169337,-0.6173985846117606,-0.7055945251771402,-0.6532349284500854,-0.6662030354350866,-0.6495628869686819,0.03582260670557389,40,-2.487391672882902e-05,-2.4795137725407812e-05,-2.6396772349922952e-05,-2.3358502347388312e-05,-2.6538919218990685e-05,-2.5192649674107757e-05,1.1735464167870824e-06
0.7183058738708497,0.18449815216822416,0.13733382225036622,0.0359584238654131,0.85,10000,3,"(1, 1)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.605383361169337,-0.6173985846117606,-0.7055945251771402,-0.6532349284500854,-0.6662030354350866,-0.6495628869686819,0.03582260670557389,40,-2.487391672882902e-05,-2.4795137725407812e-05,-2.6396772349922952e-05,-2.3358502347388312e-05,-2.6538919218990685e-05,-2.5192649674107757e-05,1.1735464167870824e-06
0.7173436164855957,0.10688943169152575,0.16174449920654296,0.03288934051424349,0.85,50000,3,"(1, 1)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.605383361169337,-0.6173985846117606,-0.7055945251771402,-0.6532349284500854,-0.6662030354350866,-0.6495628869686819,0.03582260670557389,40,-2.487391672882902e-05,-2.4795137725407812e-05,-2.6396772349922952e-05,-2.3358502347388312e-05,-2.6538919218990685e-05,-2.5192649674107757e-05,1.1735464167870824e-06
0.6868599891662598,0.11274350911261288,0.1476975440979004,0.0193057466122301,0.9,20000,3,"(1, 1)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.6096674313502605,-0.6175153445086734,-0.7066465188254729,-0.6539723708924313,-0.6715020765053554,-0.6518607484164388,0.035641560382574676,43,-2.464159163378358e-05,-2.5714326529202902e-05,-2.5481681655568568e-05,-2.6146105090279727e-05,-2.7078991596598886e-05,-2.5812539301086735e-05,8.006745309112275e-07
0.7615708827972412,0.12115085822951772,0.15314092636108398,0.023420546293770925,0.9,50000,3,"(1, 1)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.6096674313502605,-0.6175153445086734,-0.7066465188254729,-0.6539723708924313,-0.6715020765053554,-0.6518607484164388,0.035641560382574676,43,-2.464159163378358e-05,-2.5714326529202902e-05,-2.5481681655568568e-05,-2.6146105090279727e-05,-2.7078991596598886e-05,-2.5812539301086735e-05,8.006745309112275e-07
0.8388797283172608,0.14550331157407384,0.1602081298828125,0.030359167810299164,0.9,10000,3,"(1, 1)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",-0.6096674313502605,-0.6175153445086734,-0.7066465188254729,-0.6539723708924313,-0.6715020765053554,-0.6518607484164388,0.035641560382574676,43,-2.464159163378358e-05,-2.5714326529202902e-05,-2.5481681655568568e-05,-2.6146105090279727e-05,-2.7078991596598886e-05,-2.5812539301086735e-05,8.006745309112275e-07
0.878920316696167,0.18189674695063088,0.16704864501953126,0.043240650822644465,0.95,20000,5,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",-0.6633152070975019,-0.6916866631081107,-0.7628090379428988,-0.7312765280476714,-0.719401416502021,-0.7136977705396408,0.0339892701542947,46,-3.2321310038665556e-05,-3.1727763426724747e-05,-3.125792677836972e-05,-3.222156794652725e-05,-3.088788154805737e-05,-3.168328994766893e-05,5.499816503990809e-07
0.9508891582489014,0.2546570056605765,0.18694682121276857,0.05551236444679241,0.95,50000,5,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",-0.6633152070975019,-0.6916866631081107,-0.7628090379428988,-0.7312765280476714,-0.719401416502021,-0.7136977705396408,0.0339892701542947,46,-3.2321310038665556e-05,-3.1727763426724747e-05,-3.125792677836972e-05,-3.222156794652725e-05,-3.088788154805737e-05,-3.168328994766893e-05,5.499816503990809e-07
0.7314291954040527,0.06497739392237274,0.1521402359008789,0.018721560091186612,0.95,10000,5,"(1, 1)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",-0.6633152070975019,-0.6916866631081107,-0.7628090379428988,-0.7312765280476714,-0.719401416502021,-0.7136977705396408,0.0339892701542947,46,-3.2321310038665556e-05,-3.1727763426724747e-05,-3.125792677836972e-05,-3.222156794652725e-05,-3.088788154805737e-05,-3.168328994766893e-05,5.499816503990809e-07
